Restaurant Name ,Cuisine ,Cost,Rating,Address ,Phone Number ,Image
Starbucks,Coffee,$$,4.5,"9900 Balboa Blvd, Northridge, CA 91325",(818) 518-3844,
Fresh Potato Factory,Vegetarian ,$$,4.5,"9420 Reseda Blvd #6, Northridge, CA 91324",(818) 886-8156,
Pizza Way,Italian ,$$,4,"9420 Reseda Blvd Ste 2, Northridge, CA 91324",(818) 818-6523,
Arabista,Middle Eastern,$$,4.8,"9423 Reseda Blvd, Northridge, CA 91324",(818) 923-7708,
Waffle Love - Northridge,Middle Eastern,$$,4.7,"9411 Reseda Blvd, Northridge, CA 91324",(818) 671-5344,
Dunkin',Coffee,$,4.5,"9355 Reseda Blvd, Northridge, CA 91324",(818) 341-3333,
Tamarindo Fox One,Russian,$,3.5,"9353 Reseda Blvd, Northridge, CA 91324",N/A,
King's Burgers and Got Sushi,American/ Japanese,$$,4.4,"9345 Reseda Blvd, Northridge, CA 91324",(818) 885-6456,
Poseidon Restaurant & Lounge,Medditerranean,$$,4.5,"9310 Reseda Blvd, Northridge, CA 91324",(818) 527-1032,
Mandarin Deli Restaurant,Chinese,$,4.4,"9305 Reseda Blvd, Northridge, CA 91324",(818) 993-0122,
海港海鲜 (Harbor Seafood),Seafood,$,3.7,"9306 Reseda Blvd, Northridge, CA 91324",(818) 882-6668,
A & W Seafood Restaurant,Seafood,$$,4.1,"9306 Reseda Blvd, Northridge, CA 91324",(818) 882-6668,
R Coffee House,Coffee,$,4.5,"9255 Reseda Blvd Unit B, Northridge, CA 91324",(818) 600-6031,
Emle's Restaurant,Diner,$$,4.5,"9250 Reseda Blvd Suite 1, Northridge, CA 91324",(818) 772-2203,
Chop Stop,Fast Food,$,4.5,"9225 Reseda Blvd, Northridge, CA 91324",(818) 477-2966,
The Habit Burger Grill (Drive-Thru),Hamburger,$,4.5,"9215 Reseda Blvd, Northridge, CA 91324",(818) 993-7113,
Chili's,Tex-Mex/American,$$,4.2,"9200 Reseda Blvd, Northridge, CA 91324",(818) 886-2191,
Subway-CSUN,Sandwich,$,4,"18111 Nordhoff St Maildrop 8271, Northridge, CA 91330",(818) 677-4584,
Maria's Italian Kitchen,Italian ,$$,4.4,"9161 Reseda Blvd, Northridge, CA 91324",(818) 341-5114,
Baja Fresh,Mexican ,$,3.9,"9159 Reseda Blvd, Northridge, CA 91324",(818) 341-4575,
Pieology Pizzeria,Italian ,$,4.2,"9118 Reseda Blvd, Northridge, CA 91325",(747) 224-0016,
Two Hands Corn Dogs,American,$,4.8,"18431 Nordhoff St, Northridge, CA 91325",(747) 202-0448,
Yoshinoya,Japanese,$,4.2,"18441 Nordhoff St, Northridge, CA 91325",(818) 885-5133,
WaBa Grill-1,Asian Fusion,$,4.4,"18427 Nordhoff St, Northridge, CA 91325",(818) 960-2331,
Boba My Tea,Tea House,$,4.6,"18429 Nordhoff St, Los Angeles, CA 91325",(818) 280-5671,
Fishbowl Poke Co.,Seafood,$$,4.4,"18427 Nordhoff St b, Northridge, CA 91325",(818) 527-1034,
Wienerschnitzel,Fast Food,$,4.3,"18420 Nordhoff St, Northridge, CA 91325",(818) 886-6996,
Farmer Boys,Diner,$$,4.3,"9010 Reseda Blvd, Northridge, CA 91324",(818) 882-7888,
Urbane Cafe,Sandwich,$,4.6,"9020 Reseda Blvd, Northridge, CA 91324",(818) 812-9036,
LETTUCE FEAST,Takeout,$,3.7,"8950 Etiwanda Ave, Northridge, CA 91325",(424) 261-3659,
Boba Tea House,Chinese Tea House,$,4.8,"18110 Nordhoff St Unit F, Northridge, CA 91325",(818) 717-0797,
Kim’s Cafe,Seafood,$,4.8,"18110 Nordhoff St suite b, Northridge, CA 91325",(818) 280-3133,
Cupid's Hot Dogs,Fast Food,$,4.5,"9039 Lindley Ave, Northridge, CA 91325",(818) 885-8160,
Papa John's Pizza,Pizza,$,3.7,"18110 Nordhoff St, Northridge, CA 91325",(818) 882-1717,
leyna reyes,Tofu,$$,3.5,"9253 White Oak Ave, Northridge, CA 91325",(818) 647-2237,
Orange Grove Bistro,Bistro,$$,4.1,"18111 Nordhoff St, Northridge, CA 91330",(818) 677-2076,
El Pollo Loco-CSUN,Mexican ,$,4,"18111 Nordhoff St, Northridge, CA 91330",(818) 717-0476,
Burger King-CSUN,Fast Food,$,3.9,"18111 Nordhoff St, Northridge, CA 91330",(818) 677-3590,
Panda Express-CSUN,Chinese,$,4.3,"18111 Nordhoff St, Northridge, CA 91330",(818) 727-7226,
Freudian Sip-CSUN1,Cafe,$,3.8,"Jacaranda Walk, Northridge, CA 91330",(818) 677-2669,
Freudian Sip-CSUN2,Cafe,$,3,"Sierra Walk, Los Angeles, CA 91325",(818) 677-2669,
Freudian Sip-CSUN3,Cafe,$,4.1,"E University Dr, Los Angeles, CA 91325",(818) 677-2669,
Freudian Sip-CSUN4,Cafe,$,4.2,"Matador Walk, Los Angeles, CA 91325",(818) 677-2669,
The Marketplace,Breakfast ,$,4.1,"Matador Walk, Los Angeles, CA 91325",(818) 677-3557,
Juice It Up!,Juice,$,4.4,"18111 Nordhoff St, Northridge, CA 91330",(818) 862-8612,
Hawaiian Hot Chicken,Fast Food,$,4.4,"17646 Lassen St #5, Northridge, CA 91324",(818) 477-2590,
El Pollo Loco-1,Mexican ,$,4.1,"16940 Nordhoff St, Northridge, CA 91343",(818) 895-1680,
El Pollo Loco-2,Mexican ,$,3.9,"8301 Reseda Blvd, Northridge, CA 91324",(818) 886-3157,
Burger King-1,Fast Food,$,3.8,"19640 Nordhoff St, Northridge, CA 91324",(818) 885-9363,
Burger King-2,Fast Food,$,4.1,"9025 Balboa Blvd, Northridge, CA 91325",(818) 993-7903,
Burger King-3,Fast Food,$,3.6,"8500 Reseda Blvd, Northridge, CA 91324",(818) 349-1985,
Panda Express-1,Chinese,$,3.9,"18427-d Nordhoff St, Northridge, CA 91325",(818) 700-2829,
Panda Express-2,Chinese,$,4,"19500 Plummer St, Northridge, CA 91324",(818) 718-8669,
WaBa Grill-1,Asian Fusion,$,4.1,"8420 Balboa Blvd, Northridge, CA 91325",(818) 830-3069,
WaBa Grill-2,Asian Fusion,$,4.4,"18427 Nordhoff St, Northridge, CA 91325", (818) 960-2331,
Subway-1,Sandwich,$,4.2,"10305 Zelzah Ave, Northridge, CA 91324",(818) 360-3999,
Subway-2,Sandwich,$,3.9,"18649 Devonshire St, Northridge, CA 91324",(818) 363-2138,
Subway-3,Sandwich,$,4,"18456 Dearborn St Suite C-1, Northridge, CA 91325",(818) 886-3688,
Subway-4,Sandwich,$,3.5,"9301 Tampa Ave Space 00103, Northridge, CA 91324",(818) 775-5750,
Gen Korean BBQ House,Korean BBQ,$$,4.3,"10151 Reseda Blvd, Northridge, CA 91324",(818) 709-3932,
Chick-fil-A,Fast Food,$,4.4,"18521 Devonshire St, Northridge, CA 91324",(818) 741-1234,
Outback Steakhouse,Steak house,$$,4,"18711 Devonshire St, Northridge, CA 91324",(818) 366-2341,
Shakey's Pizza Parlor,Pizza,$$,4,"10340 Reseda Blvd, Northridge, CA 91326",(818) 360-2151,
Jamba,Juice,$,4.2,"18506 Devonshire St, Northridge, CA 91324",(818) 885-5801,
Wendy's,Fast Food,$,4.2,"18507 Devonshire St, Northridge, CA 91324",(818) 366-4561,
Shik Do Rak Northridge,Korean BBQ,$$,4.3,"18434 Devonshire St, Northridge, CA 91325",(818) 832-7080,
Kusina Ni Kuya,Restaurant,$,4.2,"10328 1/2 Reseda Blvd, Porter Ranch, CA 91326",(818) 217-4944,
McDonald's,Fast Food,$,3.7,"10350 Reseda Blvd, Northridge, CA 91326",(818) 368-6077,
Xevichez sushi bar,Sushi,$,3.7,"18531 Devonshire St, Northridge, CA 91324",(747) 239-1904,
Kababe Grill,Persian,$,4.8,"18677 Devonshire St, Northridge, CA 91324",(818) 363-6555,
The Coffee Bean & Tea Leaf,Coffee,$,4.5,"18705 Devonshire St, Northridge, CA 91324",(818) 360-8299,
Evolution Burger,Hamburger,$,4.4,"10058 Reseda Blvd, Northridge, CA 91324",(818) 605-7964,
